name,email,sex,age,city,children,reducedMobility,carOwner,weight,height,practiceSports,smoker,drinker,yearIncome,currentJob,mainHobby,motherLanguage,petOwner
André,André@gmail.com,M,95,São Paulo,0,false,false,58,1.91,true,false,false,59.39,executive,Traveling,PORTUGUESE,true
Anthony,Anthony@gmail.com,M,27,São Luís,0,true,true,99,1.1926,true,false,true,53,teacher,Television,PORTUGUESE,false
Anthony Gabriel,Anthony_Gabriel@gmail.com,M,88,São Luís,0,false,true,56,1.98,true,false,false,12.67,nurse,Sport,PORTUGUESE,false
Antonella,Antonella@gmail.com,F,109,Goiânia,0,false,true,50,1.95,false,true,false,7.5,police officer,Crafts,ENGLISH,true
Antônia,Antônia@gmail.com,F,95,Brasília,2,false,false,77,1.95,true,false,false,57.67,dentist,Television,PORTUGUESE,true
Antônio,Antônio@gmail.com,M,29,Campinas,1,false,true,93,1.1452,false,false,false,21.04,nurse,Collecting,PORTUGUESE,true
Arthur,Arthur@gmail.com,M,26,Porto Alegre,2,false,false,84,1.6396,true,false,true,7.24,teacher,Collecting,PORTUGUESE,true
Arthur Gabriel,Arthur_Gabriel@gmail.com,M,15,Rio de Janeiro,1,true,true,43,1.1087,true,false,true,65.04,teacher,Collecting,PORTUGUESE,true
Arthur Henrique,Arthur_Henrique@gmail.com,M,51,São Paulo,3,false,true,80,1.93,false,false,true,21.74,dentist,Music,PORTUGUESE,true
Arthur Miguel,Arthur_Miguel@gmail.com,M,96,Goiânia,1,false,false,58,1.95,true,false,false,30.22,actor,Collecting,ESPANHOL,true
Augusto,Augusto@gmail.com,M,12,Manaus,0,true,true,17,1.1201,false,false,true,9.77,writer,Television,PORTUGUESE,true
Aurora,Aurora@gmail.com,F,93,Campo Grande,0,false,true,76,1.95,true,false,true,74.6,executive,Collecting,PORTUGUESE,true
Ayla,Ayla@gmail.com,F,48,Belém,1,false,false,88,1.94,false,false,true,65.92,engineer,Traveling,PORTUGUESE,true
Beatriz,Beatriz@gmail.com,F,17,Campo Grande,0,true,true,46,1.6399,true,false,true,39.11,nurse,Television,PORTUGUESE,false
Benício,Benício@gmail.com,M,26,Campo Grande,0,false,true,99,1.2016,true,false,false,78.67,engineer,Crafts,PORTUGUESE,true
Benjamin,Benjamin@gmail.com,M,23,São Gonçalo,0,false,true,40,1.1557,true,false,false,26.78,scientist,Sport,PORTUGUESE,true
Bento,Bento@gmail.com,M,106,Goiânia,3,false,false,69,2,false,false,true,159.31,vet,Fishing,PORTUGUESE,false
Bernardo,Bernardo@gmail.com,M,21,Belo Horizonte,1,false,false,41,1.2225,true,false,false,58.62,executive,Television,PORTUGUESE,false
Bianca,Bianca@gmail.com,F,35,Rio de Janeiro,3,false,false,54,1.96,true,true,true,143.39,executive,Sport,PORTUGUESE,true
Breno,Breno@gmail.com,M,31,Belo Horizonte,1,false,false,73,1.955,false,false,false,178.19,writer,Traveling,PORTUGUESE,true
Bruna,Bruna@gmail.com,F,75,Curitiba,2,false,false,61,1.98,true,false,true,153.58,assistant,Music,PORTUGUESE,true
Bruno,Bruno@gmail.com,M,75,Maceió,3,false,false,81,2,false,false,true,47.15,police officer,Reading,PORTUGUESE,true
Bryan,Bryan@gmail.com,M,70,Duque de Caxias,1,false,false,73,1.91,true,false,false,115.78,assistant,Traveling,PORTUGUESE,false
Caio,Caio@gmail.com,M,64,São Paulo,3,true,false,75,1.92,false,false,true,140.72,accountant,Traveling,ESPANHOL,true
Caleb,Caleb@gmail.com,M,85,Manaus,0,false,true,53,1.92,false,false,true,71.4,executive,Fishing,PORTUGUESE,false
Carlos Eduardo,Carlos_Eduardo@gmail.com,M,14,Natal,0,false,true,25,1.711,false,false,true,106.23,scientist,Reading,PORTUGUESE,true
Carolina,Carolina@gmail.com,F,70,Salvador,3,false,true,87,1.94,true,false,true,115.89,police officer,Traveling,PORTUGUESE,false
Catarina,Catarina@gmail.com,F,35,Duque de Caxias,3,false,false,94,1.109,false,false,true,81.13,writer,Sport,PORTUGUESE,false
Cauã,Cauã@gmail.com,M,1,Maceió,3,false,false,59,1.8762,false,false,false,25.13,dentist,Fishing,ESPANHOL,false
Cecília,Cecília@gmail.com,F,61,Brasília,0,false,true,89,1.97,false,false,true,47.84,vet,Sport,PORTUGUESE,false
Clara,Clara@gmail.com,F,71,Goiânia,2,false,false,89,1.94,false,false,false,179.04,teacher,Reading,PORTUGUESE,false
Clarice,Clarice@gmail.com,F,42,Manaus,0,false,false,68,1.98,true,false,false,177.5,executive,Fishing,PORTUGUESE,true
Daniel,Daniel@gmail.com,M,75,Campinas,3,true,false,99,1.94,true,false,false,8.26,executive,Crafts,PORTUGUESE,false
Danilo,Danilo@gmail.com,M,83,Curitiba,0,false,true,98,1.94,false,false,true,59.97,accountant,Crafts,PORTUGUESE,false
Davi,Davi@gmail.com,M,114,Guarulhos,0,false,false,71,1.97,true,true,false,0.63,executive,Crafts,PORTUGUESE,true
Davi Lucas,Davi_Lucas@gmail.com,M,30,Maceió,0,false,true,53,1.2035,true,false,true,43.53,nurse,Television,PORTUGUESE,false
Davi Lucca,Davi_Lucca@gmail.com,M,27,Fortaleza,0,false,false,81,1.7069,true,false,false,7.91,police officer,Collecting,ESPANHOL,false
Davi Luiz,Davi_Luiz@gmail.com,M,101,São Gonçalo,0,false,true,53,1.96,false,false,true,58.3,dentist,Television,PORTUGUESE,false
Davi Miguel,Davi_Miguel@gmail.com,M,86,Belo Horizonte,3,false,true,50,1.98,true,false,true,120.28,nurse,Television,PORTUGUESE,true
Eduarda,Eduarda@gmail.com,F,25,São Paulo,0,false,true,97,1.2361,false,false,false,171.98,teacher,Sport,PORTUGUESE,false
Eduardo,Eduardo@gmail.com,M,18,São Luís,1,false,false,32,1.1673,false,false,false,169.19,actor,Television,PORTUGUESE,false
Elisa,Elisa@gmail.com,F,89,Belo Horizonte,2,false,false,55,1.94,false,false,true,268.95,nurse,Music,PORTUGUESE,false
Eloá,Eloá@gmail.com,F,66,Brasília,0,true,false,93,1.95,false,false,true,73.56,scientist,Sport,PORTUGUESE,true
Emanuel,Emanuel@gmail.com,M,72,Brasília,0,false,true,66,1.95,true,false,false,58.83,writer,Crafts,PORTUGUESE,true
Emanuelly,Emanuelly@gmail.com,F,13,Porto Alegre,3,false,false,52,1.527,true,false,true,49.39,writer,Fishing,PORTUGUESE,false
Emilly,Emilly@gmail.com,F,45,Fortaleza,3,false,true,77,1.94,true,false,false,72.89,scientist,Fishing,PORTUGUESE,false
Enrico,Enrico@gmail.com,M,108,Porto Alegre,0,false,true,98,1.93,false,false,true,178.95,vet,Collecting,ESPANHOL,false
Enzo,Enzo@gmail.com,M,71,Maceió,2,false,false,96,1.91,true,false,true,65.68,nurse,Television,PORTUGUESE,true
Enzo Gabriel,Enzo_Gabriel@gmail.com,M,87,São Paulo,0,false,true,65,1.93,true,false,false,228.97,assistant,Crafts,PORTUGUESE,true
Enzo Miguel,Enzo_Miguel@gmail.com,M,21,Guarulhos,0,false,true,39,1.6193,true,false,false,158,scientist,Fishing,PORTUGUESE,true
Erick,Erick@gmail.com,M,42,Campinas,0,false,false,86,1.91,false,false,false,62.18,executive,Traveling,PORTUGUESE,true
Esther,Esther@gmail.com,F,79,Salvador,1,false,true,93,1.96,true,true,true,131.23,police officer,Crafts,ESPANHOL,true
Felipe,Felipe@gmail.com,M,73,Campinas,0,true,true,61,1.9,true,false,true,117.69,scientist,Crafts,PORTUGUESE,true
Fernanda,Fernanda@gmail.com,F,39,Fortaleza,0,false,true,62,1.94,true,false,false,5.14,executive,Crafts,PORTUGUESE,true
Fernando,Fernando@gmail.com,M,112,Recife,2,false,true,69,2,true,false,true,11.55,chef,Crafts,PORTUGUESE,false
Francisco,Francisco@gmail.com,M,110,Guarulhos,0,false,false,70,2,true,false,true,102.58,accountant,Music,PORTUGUESE,false
Gabriel,Gabriel@gmail.com,M,13,Campo Grande,3,false,false,23,1.479,true,false,true,5.02,assistant,Fishing,PORTUGUESE,true
Gabriela,Gabriela@gmail.com,F,90,Natal,0,false,false,53,1.91,true,false,true,14.09,accountant,Sport,ESPANHOL,false
Gabrielly,Gabrielly@gmail.com,F,36,Duque de Caxias,0,false,true,29,1.9897,false,false,false,90.68,chef,Television,PORTUGUESE,true
Gael,Gael@gmail.com,M,34,Rio de Janeiro,0,false,false,97,1.1837,false,false,false,47.73,engineer,Reading,PORTUGUESE,false
Giovanna,Giovanna@gmail.com,F,47,Belo Horizonte,3,false,true,69,1.96,false,false,true,52.94,writer,Crafts,PORTUGUESE,true
Guilherme,Guilherme@gmail.com,M,28,Curitiba,1,false,true,31,1.6541,false,false,false,120.44,teacher,Fishing,PORTUGUESE,true
Gustavo,Gustavo@gmail.com,M,76,Manaus,3,false,false,88,1.99,true,false,true,42.75,nurse,Reading,PORTUGUESE,true
Heitor,Heitor@gmail.com,M,50,São Paulo,0,true,true,41,1.5569,true,false,false,99.16,engineer,Collecting,PORTUGUESE,false
Helena,Helena@gmail.com,F,67,Maceió,0,false,false,83,1.94,false,false,false,34.35,assistant,Sport,PORTUGUESE,false
Heloísa,Heloísa@gmail.com,F,120,São Luís,2,false,true,78,1.93,true,false,true,105.16,executive,Collecting,PORTUGUESE,true
Heloise,Heloise@gmail.com,F,45,Natal,0,false,true,92,2,false,false,false,152.94,executive,Music,ENGLISH,false
Henrique,Henrique@gmail.com,M,42,Porto Alegre,3,false,false,57,1.98,true,false,false,203.28,teacher,Traveling,PORTUGUESE,false
Henry,Henry@gmail.com,M,29,Maceió,0,false,true,81,1.4129,false,true,true,60.59,engineer,Sport,PORTUGUESE,true
Ian,Ian@gmail.com,M,57,Guarulhos,2,false,true,71,1.96,false,false,true,117.72,actor,Music,PORTUGUESE,true
Isaac,Isaac@gmail.com,M,87,Recife,1,false,false,52,1.97,false,false,true,53.51,chef,Crafts,PORTUGUESE,true
Isabel,Isabel@gmail.com,F,55,Fortaleza,1,true,true,63,1.9,false,false,true,132.16,actor,Crafts,PORTUGUESE,true
Isabella,Isabella@gmail.com,F,65,Fortaleza,0,false,true,51,1.99,true,false,true,41.4,scientist,Collecting,PORTUGUESE,false
Isabelly,Isabelly@gmail.com,F,70,Goiânia,0,false,true,50,1.95,true,false,false,176.76,writer,Reading,PORTUGUESE,true
Isadora,Isadora@gmail.com,F,75,Fortaleza,0,false,false,87,1.93,true,false,false,11.26,actor,Collecting,PORTUGUESE,true
Isis,Isis@gmail.com,F,117,São Paulo,3,false,false,72,1.98,true,false,true,147.37,police officer,Fishing,PORTUGUESE,true
Joana,Joana@gmail.com,F,91,Brasília,0,false,true,31,1.2882,false,false,true,190.09,scientist,Sport,ENGLISH,true
João,João@gmail.com,M,59,Salvador,3,false,false,63,1.95,false,true,false,107.01,writer,Sport,PORTUGUESE,false
João Gabriel,João_Gabriel@gmail.com,M,38,Curitiba,0,false,true,76,1.96,true,false,false,188.91,police officer,Reading,PORTUGUESE,false
João Guilherme,João_Guilherme@gmail.com,M,71,Maceió,1,false,false,59,1.9,false,false,false,132.42,vet,Collecting,PORTUGUESE,true
João Lucas,João_Lucas@gmail.com,M,31,Fortaleza,1,true,false,71,1.8989,false,false,true,66.08,nurse,Crafts,ESPANHOL,false
João Miguel,João_Miguel@gmail.com,M,73,Salvador,0,false,true,66,1.91,false,false,false,43.22,dentist,Fishing,PORTUGUESE,false
João Pedro,João_Pedro@gmail.com,M,83,Duque de Caxias,0,false,false,86,1.99,true,true,false,36.87,actor,Collecting,ENGLISH,true
